publisher,name,url,country_code,category,language,reliability_tier,source_type,fetch_interval_minutes,priority
Times of India,Chennai TOI,https://timesofindia.indiatimes.com/rssfeeds/2673929.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Goa TOI,https://timesofindia.indiatimes.com/rssfeeds/36692495.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Hyderabad TOI,https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Jaipur TOI,https://timesofindia.indiatimes.com/rssfeeds/-2128807284.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Kolkata TOI,https://timesofindia.indiatimes.com/rssfeeds/52673931.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Lucknow TOI,https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Times of India Top,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,IN,India,en,tier_1,primary,15,90
Times of India,TOI India,https://timesofindia.indiatimes.com/rssfeeds/-2128936835.cms,IN,India,en,tier_1,primary,15,90
TV9 Gujarati,TV9 Gujarati,https://www.tv9gujarati.com/feed/,IN,World,gu,tier_2,primary,30,2
TV9 Kannada,TV9 Kannada,https://www.tv9kannada.com/feed/,IN,World,kn,tier_2,primary,30,2
TV9 Marathi,TV9 Marathi,https://www.tv9marathi.com/feed/,IN,World,mr,tier_2,primary,30,2
TV9 Network,TV9 Telugu,https://www.tv9telugu.com/feed,IN,Politics,te,tier_2,secondary,30,5
Unknown,Indian Express,https://indianexpress.com/section/india/feed/,IN,World,en,tier_2,secondary,30,80
Unknown,Indian Express World,https://indianexpress.com/section/world/feed/,IN,World,en,tier_2,secondary,30,70
Unknown,LiveMint,https://www.livemint.com/rss/news,IN,Business,en,tier_2,secondary,30,75
Unknown,NDTV,https://feeds.feedburner.com/ndtvnews-top-stories,IN,World,en,tier_2,secondary,30,80
Unknown,The Hindu,https://www.thehindu.com/news/feeder/default.rss,IN,World,en,tier_2,secondary,30,80
Unknown,The Hindu Business,https://www.thehindu.com/business/feeder/default.rss,IN,Business,en,tier_2,secondary,30,75
Unknown,The Hindu National,https://www.thehindu.com/news/national/feeder/default.rss,IN,Politics,en,tier_2,secondary,30,85
Vikatan,Vikatan Tamil,https://www.vikatan.com/feed/,IN,World,ta,tier_1,primary,30,1
