publisher,name,url,country_code,category,language,reliability_tier,source_type,fetch_interval_minutes,priority
The Daily Star,Daily Star Bangladesh,https://www.thedailystar.net/frontpage/rss.xml,BD,World,en,tier_2,secondary,25,80
The Guardian,Guardian UK,https://www.theguardian.com/uk/rss,GB,World,en,tier_1,primary,20,91
The Guardian,Guardian World,https://www.theguardian.com/world/rss,GB,World,en,tier_1,primary,15,93
The Hindu,Tamil The Hindu,https://www.hindutamil.in/feed,IN,Politics,ta,tier_2,secondary,30,5
The Japan Times,Japan Times,https://www.japantimes.co.jp/feed/,JP,World,en,tier_1,primary,20,88
The New York Times,NYTimes Business,https://rss.nytimes.com/services/xml/rss/nyt/Business.xml,US,Business,en,tier_1,primary,20,90
The New York Times,NYTimes Home,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,US,World,en,tier_1,primary,15,95
The New York Times,NYTimes US,https://rss.nytimes.com/services/xml/rss/nyt/US.xml,US,World,en,tier_1,primary,20,92
The New York Times,NYTimes World,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,US,World,en,tier_1,primary,15,94
The Shillong Times,The Shillong Times,https://theshillongtimes.com/feed/,IN,Local,en,tier_2,secondary,30,72
The Straits Times,Straits Times,https://www.straitstimes.com/news/singapore/rss.xml,SG,World,en,tier_1,primary,20,88
The Washington Post,Washington Post World,https://feeds.washingtonpost.com/rss/world,US,World,en,tier_1,primary,20,90
Times of India,Ahmedabad TOI,https://timesofindia.indiatimes.com/rssfeeds/52673929.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Chandigarh TOI,https://timesofindia.indiatimes.com/rssfeeds/-2128769355.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Chennai TOI,https://timesofindia.indiatimes.com/rssfeeds/2673929.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Goa TOI,https://timesofindia.indiatimes.com/rssfeeds/36692495.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Hyderabad TOI,https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Jaipur TOI,https://timesofindia.indiatimes.com/rssfeeds/-2128807284.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Kolkata TOI,https://timesofindia.indiatimes.com/rssfeeds/52673931.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Lucknow TOI,https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms,IN,Local,en,tier_1,primary,30,1
Times of India,Times of India Top,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,IN,India,en,tier_1,primary,15,90
Times of India,TOI India,https://timesofindia.indiatimes.com/rssfeeds/-2128936835.cms,IN,India,en,tier_1,primary,15,90
Times of Israel,Times of Israel,https://www.timesofisrael.com/feed/,IL,World,en,tier_2,secondary,20,80
TV9 Gujarati,TV9 Gujarati,https://www.tv9gujarati.com/feed/,IN,World,gu,tier_2,primary,30,2
TV9 Kannada,TV9 Kannada,https://www.tv9kannada.com/feed/,IN,World,kn,tier_2,primary,30,2
TV9 Marathi,TV9 Marathi,https://www.tv9marathi.com/feed/,IN,World,mr,tier_2,primary,30,2
TV9 Network,TV9 Telugu,https://www.tv9telugu.com/feed,IN,Politics,te,tier_2,secondary,30,5
Unknown,BBC News,http://feeds.bbci.co.uk/news/rss.xml,NULL,World,en,tier_2,secondary,30,95
Unknown,BBC World,http://feeds.bbci.co.uk/news/world/rss.xml,NULL,World,en,tier_2,secondary,30,90
Unknown,Indian Express,https://indianexpress.com/section/india/feed/,IN,World,en,tier_2,secondary,30,80
Unknown,Indian Express World,https://indianexpress.com/section/world/feed/,IN,World,en,tier_2,secondary,30,70
Unknown,LiveMint,https://www.livemint.com/rss/news,IN,Business,en,tier_2,secondary,30,75
Unknown,NDTV,https://feeds.feedburner.com/ndtvnews-top-stories,IN,World,en,tier_2,secondary,30,80
Unknown,The Hindu,https://www.thehindu.com/news/feeder/default.rss,IN,World,en,tier_2,secondary,30,80
Unknown,The Hindu Business,https://www.thehindu.com/business/feeder/default.rss,IN,Business,en,tier_2,secondary,30,75
Unknown,The Hindu National,https://www.thehindu.com/news/national/feeder/default.rss,IN,Politics,en,tier_2,secondary,30,85
Vanguard,Vanguard Nigeria,https://www.vanguardngr.com/feed/,NG,World,en,tier_2,secondary,25,76
Vikatan,Vikatan Tamil,https://www.vikatan.com/feed/,IN,World,ta,tier_1,primary,30,1
VNExpress,VNExpress,https://vnexpress.net/rss/tin-moi-nhat.rss,VN,World,vi,tier_2,secondary,25,74
