name	url	publisher	country	language	category	reliability	source_type	fetch_interval	priority
Indian: Hindustan Times	https://www.hindustantimes.com/feeds/rss/india-news/rssfeed.xml	Hindustan Times	IN	en	India	tier_1	primary	15	90
Indian: Firstpost	https://www.firstpost.com/commonfeeds/v1/mfp/rss/india.xml	Firstpost	IN	en	India	tier_2	secondary	20	84
Indian: Economic Times	https://economictimes.indiatimes.com/rssfeedsdefault.cms	Economic Times	IN	en	Business	tier_1	primary	15	90
Indian Local: Greater Kashmir	https://www.greaterkashmir.com/feed/	Greater Kashmir	IN	en	Local	tier_2	secondary	25	74
Indian Local: EastMojo	https://www.eastmojo.com/feed/	EastMojo	IN	en	Local	tier_2	secondary	25	74
Indian Local: Kashmir Observer	https://kashmirobserver.net/feed/	Kashmir Observer	IN	en	Local	tier_2	secondary	30	72
Indian Local: The Shillong Times	https://theshillongtimes.com/feed/	The Shillong Times	IN	en	Local	tier_2	secondary	30	72
Indian Local: Goa Chronicle	https://goachronicle.com/feed/	Goa Chronicle	IN	en	Local	tier_3	secondary	30	68
Indian Local: News Karnataka	https://newskarnataka.com/feed/	News Karnataka	IN	en	Local	tier_3	secondary	30	68
Indian Local: Kashmir Life	https://kashmirlife.net/feed/	Kashmir Life	IN	en	Local	tier_3	secondary	30	68
